Sales Person,Geography,Product,Date,Amount,Boxes
Dennison Crosswaite,  USA,Eclairs,16/7/2021,"$2,653 ",166
Jehu Rudeforth,  UK,Eclairs,16/7/2021,"$7,133 ",549
Andria Kimpton,   USA,Caramel Stuffed Bars,16/7/2021,"$6,678 ",268
Husein Augar,  India,Manuka Honey Choco,16/7/2021,"$9,884 ",396
Madelene Upcott,  Australia,50% Dark Bites,16/7/2021,"$11,417 ",1269
Andria Kimpton,   India,Manuka Honey Choco,16/7/2021,"$11,039 ",409
Kaine Padly,   Australia,Organic Choco Syrup,16/7/2021,$189 ,7
Madelene Upcott,   India,Choco Coated Almonds,16/7/2021,"$2,835 ",135
Karlen McCaffrey,   Canada,Organic Choco Syrup,16/7/2021,"$4,214 ",141
Husein Augar, India,Eclairs,16/7/2021,"$3,031 ",145
Camilla Castle,India,85% Dark Bars,16/7/2021,"$4,851 ",211
Jan Morforth,   UK,Eclairs,16/7/2021,"$4,543 ",240
Husein Augar, Australia,Baker's Choco Chips,19/7/2021,"$3,108 ",389
Dotty Strutley,UK,Drinking Coco,19/7/2021,"$3,563 ",128
Roddy Speechley,  India,Raspberry Choco,19/7/2021,"$8,981 ",499
Curtice Advani,   Canada,Drinking Coco,19/7/2021,$833 ,34
Mallorie Waber,  Canada,Manuka Honey Choco,19/7/2021,"$4,165 ",155
Curtice Advani,New Zealand,Drinking Coco,19/7/2021,$896 ,36
Curtice Advani,   Canada,Baker's Choco Chips,19/7/2021,"$12,943 ",925
Andria Kimpton,India,99% Dark & Pure,19/7/2021,"$3,983 ",182
Jan Morforth, Australia,Spicy Special Slims,20/7/2021,"$4,025 ",161
Dennison Crosswaite,New Zealand,99% Dark & Pure,20/7/2021,"$4,809 ",241
Husein Augar,  Australia,Eclairs,20/7/2021,"$6,398 ",400
Dotty Strutley, USA,Smooth Sliky Salty,20/7/2021,"$2,387 ",171
Oby Sorrel,  India,Baker's Choco Chips,20/7/2021,"$5,789 ",446
Jehu Rudeforth,USA,Manuka Honey Choco,20/7/2021,"$6,769 ",219
Camilla Castle,  UK,White Choc,20/7/2021,"$3,248 ",271
Kaine Padly, Canada,Organic Choco Syrup,20/7/2021,"$11,473 ",499
Dennison Crosswaite,India,Raspberry Choco,20/7/2021,$819 ,49
Oby Sorrel,   USA,Peanut Butter Cubes,20/7/2021,"$6,195 ",239
Curtice Advani,  USA,Peanut Butter Cubes,20/7/2021,"$2,961 ",119
Karlen McCaffrey,   Australia,Spicy Special Slims,20/7/2021,"$3,360 ",147
Husein Augar,  USA,Almond Choco,20/7/2021,"$10,059 ",592
Andria Kimpton,   UK,Spicy Special Slims,20/7/2021,"$5,257 ",229
Van Tuxwell,   USA,Smooth Sliky Salty,21/7/2021,"$1,596 ",84
Karlen McCaffrey, India,Caramel Stuffed Bars,21/7/2021,"$8,316 ",320
Dennison Crosswaite,UK,50% Dark Bites,21/7/2021,"$3,283 ",235
Karlen McCaffrey,India,After Nines,21/7/2021,"$6,727 ",217
Brien Boise,  Australia,85% Dark Bars,21/7/2021,"$1,344 ",68
Wilone O'Kielt, Australia,Mint Chip Choco,21/7/2021,"$4,774 ",319
Karlen McCaffrey, USA,Milk Bars,21/7/2021,$399 ,14
Jehu Rudeforth,Australia,Milk Bars,21/7/2021,"$3,024 ",121
Jan Morforth, Australia,Almond Choco,21/7/2021,$602 ,41
Kelci Walkden, India,Choco Coated Almonds,21/7/2021,"$8,673 ",434
Marney O'Breen,  Australia,Smooth Sliky Salty,21/7/2021,"$12,404 ",591
Gigi Bohling,   Canada,Eclairs,21/7/2021,"$9,541 ",637
Marney O'Breen,USA,Almond Choco,21/7/2021,$483 ,25
Gigi Bohling, New Zealand,Drinking Coco,21/7/2021,"$2,709 ",97
Kaine Padly,   UK,Raspberry Choco,21/7/2021,"$10,983 ",687
Mallorie Waber,  New Zealand,Manuka Honey Choco,22/7/2021,"$4,326 ",140
Karlen McCaffrey,New Zealand,Mint Chip Choco,22/7/2021,$112 ,7
Oby Sorrel,  USA,Baker's Choco Chips,22/7/2021,"$5,565 ",619
Oby Sorrel, Australia,50% Dark Bites,22/7/2021,"$9,898 ",1100
Beverie Moffet,  USA,After Nines,22/7/2021,$476 ,20
Roddy Speechley,   USA,Eclairs,22/7/2021,"$4,599 ",329
Wilone O'Kielt,USA,White Choc,22/7/2021,"$3,031 ",190
Dennison Crosswaite,UK,After Nines,22/7/2021,"$5,208 ",186
Gigi Bohling,  USA,Choco Coated Almonds,22/7/2021,"$5,873 ",267
Karlen McCaffrey, India,Spicy Special Slims,22/7/2021,"$16,968 ",653
Rafaelita Blaksland,  USA,Choco Coated Almonds,22/7/2021,"$12,635 ",903
Jan Morforth, New Zealand,99% Dark & Pure,22/7/2021,$567 ,34
Curtice Advani,  UK,Organic Choco Syrup,22/7/2021,"$8,246 ",330
Rafaelita Blaksland,   New Zealand,Orange Choco,23/7/2021,"$3,101 ",239
Jehu Rudeforth,   Canada,Smooth Sliky Salty,23/7/2021,"$4,326 ",228
Dotty Strutley, New Zealand,Eclairs,23/7/2021,"$5,376 ",317
Curtice Advani,   New Zealand,Spicy Special Slims,23/7/2021,"$2,240 ",102
Van Tuxwell,  UK,Fruit & Nut Bars,23/7/2021,$784 ,44
Barr Faughny,   Canada,Almond Choco,26/7/2021,"$2,240 ",118
Barr Faughny,  Canada,Peanut Butter Cubes,26/7/2021,"$6,643 ",266
Gunar Cockshoot, USA,Smooth Sliky Salty,26/7/2021,"$4,459 ",235
Dotty Strutley,  Canada,Choco Coated Almonds,26/7/2021,"$6,713 ",373
Husein Augar,  Canada,Spicy Special Slims,26/7/2021,"$3,108 ",116
Brien Boise,   Canada,Choco Coated Almonds,26/7/2021,"$11,116 ",530
Curtice Advani,USA,99% Dark & Pure,26/7/2021,$406 ,18
Rafaelita Blaksland,   UK,70% Dark Bites,26/7/2021,"$6,055 ",757
Mallorie Waber,  Australia,Milk Bars,26/7/2021,"$2,968 ",106
Roddy Speechley,Canada,99% Dark & Pure,27/7/2021,"$5,369 ",256
Ches Bonnell, Australia,Caramel Stuffed Bars,27/7/2021,"$9,268 ",371
Curtice Advani, UK,Manuka Honey Choco,27/7/2021,"$7,735 ",287
Kaine Padly, Canada,Choco Coated Almonds,27/7/2021,"$8,540 ",407
Rafaelita Blaksland,   USA,Smooth Sliky Salty,27/7/2021,"$6,265 ",369
Rafaelita Blaksland,  New Zealand,Manuka Honey Choco,27/7/2021,$98 ,4
Jehu Rudeforth,  USA,Milk Bars,27/7/2021,"$7,105 ",237
Kaine Padly,UK,Peanut Butter Cubes,27/7/2021,"$10,605 ",483
Madelene Upcott, USA,Eclairs,27/7/2021,"$20,384 ",1359
Dotty Strutley,  USA,Drinking Coco,27/7/2021,$364 ,15
Brien Boise,  India,After Nines,27/7/2021,"$6,881 ",238
Marney O'Breen,  Australia,After Nines,27/7/2021,$483 ,20
Dotty Strutley, UK,Smooth Sliky Salty,27/7/2021,"$11,284 ",753
Mallorie Waber,New Zealand,Spicy Special Slims,27/7/2021,"$1,449 ",52
Gigi Bohling, UK,99% Dark & Pure,28/7/2021,"$7,273 ",317
Brien Boise,   Canada,Drinking Coco,28/7/2021,"$6,916 ",277
Kelci Walkden,   UK,Eclairs,28/7/2021,$868 ,52
Barr Faughny,UK,Smooth Sliky Salty,28/7/2021,$952 ,53
Marney O'Breen,New Zealand,Eclairs,28/7/2021,"$3,220 ",190
Madelene Upcott, New Zealand,Peanut Butter Cubes,28/7/2021,"$3,745 ",209
Wilone O'Kielt,Canada,Almond Choco,29/7/2021,"$10,878 ",473
Mallorie Waber, New Zealand,50% Dark Bites,29/7/2021,"$2,653 ",295
Jan Morforth, USA,Peanut Butter Cubes,29/7/2021,"$1,043 ",53
Camilla Castle, USA,White Choc,29/7/2021,"$5,257 ",526
Rafaelita Blaksland,   India,Raspberry Choco,29/7/2021,"$9,639 ",439
Kelci Walkden, New Zealand,Raspberry Choco,29/7/2021,"$12,950 ",720
Barr Faughny,  Australia,70% Dark Bites,29/7/2021,"$2,884 ",412
Gunar Cockshoot, India,Almond Choco,29/7/2021,"$3,024 ",132
Gunar Cockshoot,   New Zealand,Almond Choco,29/7/2021,"$9,394 ",553
Kaine Padly,  New Zealand,Spicy Special Slims,29/7/2021,"$3,878 ",177
Van Tuxwell,New Zealand,Mint Chip Choco,29/7/2021,"$9,863 ",520
Husein Augar, Australia,White Choc,29/7/2021,"$3,451 ",346
Beverie Moffet,Australia,Choco Coated Almonds,29/7/2021,"$8,078 ",385
Marney O'Breen,USA,Peanut Butter Cubes,29/7/2021,"$3,115 ",120
Marney O'Breen, Canada,99% Dark & Pure,29/7/2021,"$1,981 ",95
Beverie Moffet,   New Zealand,85% Dark Bars,29/7/2021,"$8,078 ",426
Roddy Speechley,   Canada,Drinking Coco,29/7/2021,"$8,757 ",351
Ches Bonnell, Australia,White Choc,29/7/2021,"$4,466 ",406
Wilone O'Kielt,Canada,Manuka Honey Choco,30/7/2021,$896 ,34
Kelci Walkden, Canada,Choco Coated Almonds,30/7/2021,"$10,045 ",670
Curtice Advani,New Zealand,Eclairs,30/7/2021,"$12,845 ",857
Oby Sorrel,   Canada,Eclairs,30/7/2021,"$8,708 ",581
Dennison Crosswaite,India,70% Dark Bites,30/7/2021,$476 ,44
Camilla Castle,  New Zealand,Raspberry Choco,30/7/2021,"$2,625 ",120
Van Tuxwell,   Canada,Fruit & Nut Bars,30/7/2021,"$10,969 ",646
Barr Faughny,USA,50% Dark Bites,2/8/2021,"$14,763 ",985
Oby Sorrel,   New Zealand,70% Dark Bites,2/8/2021,"$13,188 ",1884
Gigi Bohling, USA,Almond Choco,2/8/2021,"$6,944 ",386
Oby Sorrel,   Australia,Caramel Stuffed Bars,2/8/2021,"$8,561 ",306
Marney O'Breen,   New Zealand,Caramel Stuffed Bars,2/8/2021,"$4,753 ",217
Roddy Speechley,   India,Drinking Coco,2/8/2021,"$10,388 ",473
Madelene Upcott,   Australia,Caramel Stuffed Bars,2/8/2021,"$8,057 ",310
Barr Faughny,   UK,99% Dark & Pure,2/8/2021,$7 ,1
Wilone O'Kielt, New Zealand,Baker's Choco Chips,2/8/2021,"$1,666 ",209
Van Tuxwell,  USA,Milk Bars,2/8/2021,"$3,934 ",158
Karlen McCaffrey,India,Manuka Honey Choco,2/8/2021,"$11,746 ",368
Curtice Advani,   Australia,Orange Choco,2/8/2021,"$10,150 ",1015
Mallorie Waber,  UK,Almond Choco,2/8/2021,"$8,204 ",513
Barr Faughny,  New Zealand,Almond Choco,2/8/2021,"$8,015 ",501
Rafaelita Blaksland, India,Mint Chip Choco,2/8/2021,"$2,695 ",159
Jehu Rudeforth,  India,Fruit & Nut Bars,2/8/2021,"$4,277 ",286
Gigi Bohling, India,Caramel Stuffed Bars,2/8/2021,"$1,617 ",68
Rafaelita Blaksland,   India,Peanut Butter Cubes,2/8/2021,"$6,181 ",248
Beverie Moffet,Canada,85% Dark Bars,3/8/2021,"$5,957 ",249
Roddy Speechley,  Australia,Choco Coated Almonds,3/8/2021,"$4,550 ",253
Gigi Bohling,UK,After Nines,3/8/2021,"$7,217 ",278
Curtice Advani,  India,Eclairs,3/8/2021,"$4,151 ",260
Brien Boise, Canada,Manuka Honey Choco,3/8/2021,"$7,910 ",256
Kelci Walkden,New Zealand,Drinking Coco,3/8/2021,"$5,446 ",188
Roddy Speechley,   UK,Orange Choco,3/8/2021,"$9,443 ",1050
Jan Morforth,   Australia,Drinking Coco,3/8/2021,"$7,945 ",346
Dotty Strutley,USA,85% Dark Bars,3/8/2021,"$6,167 ",257
Dennison Crosswaite,  Canada,Orange Choco,4/8/2021,"$12,404 ",955
Dotty Strutley,  New Zealand,Peanut Butter Cubes,4/8/2021,"$7,168 ",378
Marney O'Breen,Australia,Almond Choco,4/8/2021,"$2,779 ",155
Karlen McCaffrey,  Australia,Raspberry Choco,5/8/2021,"$17,843 ",1190
Andria Kimpton,   India,Almond Choco,5/8/2021,"$1,491 ",68
Van Tuxwell,  UK,After Nines,5/8/2021,"$4,907 ",164
Oby Sorrel,   USA,Orange Choco,5/8/2021,"$11,452 ",1273
Rafaelita Blaksland,Australia,White Choc,5/8/2021,"$7,301 ",812
Curtice Advani,  Australia,Fruit & Nut Bars,5/8/2021,"$1,708 ",122
Marney O'Breen,  USA,Spicy Special Slims,5/8/2021,"$6,013 ",215
Karlen McCaffrey, USA,Fruit & Nut Bars,5/8/2021,"$3,654 ",261
Madelene Upcott, India,70% Dark Bites,5/8/2021,"$13,279 ",1660
Mallorie Waber,India,Manuka Honey Choco,5/8/2021,"$8,554 ",276
Husein Augar, Canada,White Choc,5/8/2021,"$8,554 ",713
Roddy Speechley, UK,Spicy Special Slims,5/8/2021,$14 ,1
Beverie Moffet,   UK,Almond Choco,5/8/2021,"$2,156 ",114
Jan Morforth, UK,Smooth Sliky Salty,6/8/2021,"$3,605 ",181
Camilla Castle,   Australia,Spicy Special Slims,6/8/2021,"$3,668 ",142
Curtice Advani, UK,Eclairs,6/8/2021,"$6,909 ",329
Beverie Moffet,  USA,Baker's Choco Chips,6/8/2021,"$7,434 ",744
Husein Augar,   New Zealand,Smooth Sliky Salty,6/8/2021,"$2,030 ",127
Van Tuxwell,  UK,Baker's Choco Chips,6/8/2021,"$12,201 ",763
Andria Kimpton,   Australia,Milk Bars,6/8/2021,"$5,075 ",203
Kelci Walkden,  New Zealand,Smooth Sliky Salty,6/8/2021,"$9,478 ",527
Dotty Strutley,   Australia,Baker's Choco Chips,6/8/2021,"$4,774 ",597
Gunar Cockshoot,  USA,Milk Bars,6/8/2021,"$7,413 ",323
Oby Sorrel,  UK,Baker's Choco Chips,6/8/2021,"$5,950 ",744
Barr Faughny,  Canada,Milk Bars,6/8/2021,"$4,592 ",192
Rafaelita Blaksland,  Canada,85% Dark Bars,6/8/2021,$42 ,2
Kaine Padly,   USA,Choco Coated Almonds,6/8/2021,"$1,148 ",77
Curtice Advani,   USA,Smooth Sliky Salty,9/8/2021,"$3,122 ",165
Jehu Rudeforth,New Zealand,99% Dark & Pure,9/8/2021,"$6,510 ",362
Rafaelita Blaksland,India,Milk Bars,9/8/2021,"$1,421 ",53
Rafaelita Blaksland,  UK,Spicy Special Slims,9/8/2021,$273 ,13
Curtice Advani,India,85% Dark Bars,9/8/2021,"$15,400 ",963
Kaine Padly, Canada,50% Dark Bites,9/8/2021,"$11,193 ",700
Curtice Advani,   Australia,99% Dark & Pure,9/8/2021,"$15,813 ",753
Dennison Crosswaite,   Canada,85% Dark Bars,9/8/2021,"$4,375 ",274
Dotty Strutley,   USA,50% Dark Bites,9/8/2021,"$11,683 ",899
Van Tuxwell, Australia,Spicy Special Slims,9/8/2021,"$9,009 ",361
Rafaelita Blaksland,  Australia,Spicy Special Slims,9/8/2021,"$7,112 ",264
Marney O'Breen,  Australia,Orange Choco,9/8/2021,$882 ,126
Oby Sorrel,  India,70% Dark Bites,9/8/2021,"$5,152 ",644
Ches Bonnell,Canada,Almond Choco,9/8/2021,"$2,947 ",174
Kaine Padly,USA,85% Dark Bars,9/8/2021,"$2,905 ",146
Brien Boise,   UK,Caramel Stuffed Bars,9/8/2021,"$2,548 ",107
Jehu Rudeforth,  New Zealand,Drinking Coco,9/8/2021,"$3,437 ",157
Dennison Crosswaite, USA,Raspberry Choco,9/8/2021,"$5,740 ",410
Gigi Bohling, UK,85% Dark Bars,9/8/2021,"$2,842 ",168
Barr Faughny,USA,99% Dark & Pure,9/8/2021,"$9,863 ",429
Andria Kimpton,  USA,99% Dark & Pure,9/8/2021,"$2,772 ",164
Brien Boise,   Australia,Eclairs,9/8/2021,"$7,833 ",603
Curtice Advani, India,Baker's Choco Chips,10/8/2021,"$10,248 ",684
Andria Kimpton,UK,Raspberry Choco,10/8/2021,"$5,677 ",355
Rafaelita Blaksland, Canada,Orange Choco,10/8/2021,"$8,596 ",1433
Wilone O'Kielt,Canada,Spicy Special Slims,10/8/2021,"$6,657 ",267
Gigi Bohling,India,Baker's Choco Chips,10/8/2021,"$8,134 ",678
Jan Morforth, New Zealand,Caramel Stuffed Bars,10/8/2021,"$3,122 ",105
Marney O'Breen,New Zealand,White Choc,10/8/2021,$875 ,55
Dotty Strutley,  UK,Caramel Stuffed Bars,10/8/2021,"$3,199 ",134
Oby Sorrel,   India,Orange Choco,10/8/2021,"$5,600 ",700
Van Tuxwell,USA,Choco Coated Almonds,10/8/2021,"$2,646 ",177
Dennison Crosswaite,  Canada,99% Dark & Pure,10/8/2021,"$16,940 ",706
Roddy Speechley, UK,Organic Choco Syrup,10/8/2021,"$9,191 ",368
Gunar Cockshoot,  Australia,Smooth Sliky Salty,10/8/2021,"$9,562 ",456
Curtice Advani, New Zealand,Manuka Honey Choco,10/8/2021,$567 ,20
Mallorie Waber, USA,Fruit & Nut Bars,10/8/2021,"$5,173 ",288
Kaine Padly, New Zealand,Orange Choco,10/8/2021,"$4,781 ",342
Gunar Cockshoot,India,Manuka Honey Choco,10/8/2021,"$6,111 ",191
Dennison Crosswaite,  New Zealand,Eclairs,10/8/2021,"$2,373 ",119
Beverie Moffet,  India,Raspberry Choco,10/8/2021,"$17,892 ",1278
Gigi Bohling,USA,Caramel Stuffed Bars,10/8/2021,"$1,729 ",70
Beverie Moffet, New Zealand,50% Dark Bites,10/8/2021,"$4,508 ",282
Dotty Strutley,New Zealand,After Nines,11/8/2021,"$11,641 ",432
Camilla Castle,  Canada,Drinking Coco,11/8/2021,"$3,647 ",131
Gigi Bohling,Canada,Organic Choco Syrup,11/8/2021,"$5,670 ",237
Van Tuxwell,  USA,Mint Chip Choco,11/8/2021,"$1,036 ",58
Jehu Rudeforth,New Zealand,Raspberry Choco,11/8/2021,"$11,067 ",615
Karlen McCaffrey,Canada,Caramel Stuffed Bars,11/8/2021,"$3,010 ",131
Wilone O'Kielt,   New Zealand,Almond Choco,11/8/2021,"$4,753 ",207
Dennison Crosswaite,  UK,Raspberry Choco,11/8/2021,"$11,690 ",616
Husein Augar, India,Choco Coated Almonds,11/8/2021,"$1,428 ",96
Madelene Upcott,  UK,70% Dark Bites,11/8/2021,"$5,467 ",547
Barr Faughny, Australia,Peanut Butter Cubes,11/8/2021,"$11,018 ",501
Marney O'Breen,India,Baker's Choco Chips,11/8/2021,"$10,171 ",1272
Camilla Castle,  USA,Raspberry Choco,11/8/2021,"$4,935 ",260
Mallorie Waber, India,After Nines,11/8/2021,"$2,499 ",81
Jehu Rudeforth, Canada,Almond Choco,11/8/2021,"$2,492 ",139
Karlen McCaffrey,UK,Baker's Choco Chips,11/8/2021,"$17,549 ",1755
Van Tuxwell,  UK,Manuka Honey Choco,11/8/2021,"$6,636 ",256
Van Tuxwell, Canada,After Nines,11/8/2021,"$8,904 ",308
Oby Sorrel,   UK,Orange Choco,11/8/2021,"$16,702 ",1392
Gigi Bohling,   Canada,Drinking Coco,11/8/2021,"$1,701 ",59
Ches Bonnell,  UK,Peanut Butter Cubes,11/8/2021,"$10,269 ",541
Jehu Rudeforth,UK,Orange Choco,11/8/2021,"$4,410 ",630
Kaine Padly,   UK,White Choc,12/8/2021,"$1,610 ",115
Marney O'Breen,  Canada,Choco Coated Almonds,12/8/2021,"$14,399 ",800
Husein Augar,   New Zealand,Spicy Special Slims,12/8/2021,"$1,169 ",49
Kaine Padly, UK,Smooth Sliky Salty,12/8/2021,"$13,867 ",694
Brien Boise,  USA,70% Dark Bites,12/8/2021,"$2,261 ",283
Mallorie Waber,India,Caramel Stuffed Bars,12/8/2021,"$2,394 ",83
Van Tuxwell, Australia,Milk Bars,12/8/2021,"$5,243 ",228
Beverie Moffet,   New Zealand,99% Dark & Pure,12/8/2021,"$4,501 ",196
Karlen McCaffrey,UK,Manuka Honey Choco,13/8/2021,"$2,513 ",77
Karlen McCaffrey,  Canada,Spicy Special Slims,13/8/2021,"$2,828 ",114
Kaine Padly,USA,Orange Choco,13/8/2021,"$13,944 ",1550
Jan Morforth,   USA,Organic Choco Syrup,13/8/2021,"$3,136 ",112
Curtice Advani, UK,Almond Choco,13/8/2021,"$6,587 ",347
Kelci Walkden, New Zealand,Spicy Special Slims,13/8/2021,"$2,254 ",87
Andria Kimpton,   New Zealand,Orange Choco,13/8/2021,"$6,356 ",795
Gunar Cockshoot, India,Eclairs,13/8/2021,"$2,688 ",168
Roddy Speechley, Canada,Fruit & Nut Bars,13/8/2021,"$5,719 ",477
Kelci Walkden,   UK,White Choc,13/8/2021,$238 ,27
Jan Morforth,India,Manuka Honey Choco,13/8/2021,"$3,486 ",113
Beverie Moffet, India,Almond Choco,13/8/2021,"$4,228 ",193
Karlen McCaffrey,UK,After Nines,16/8/2021,"$12,054 ",389
Van Tuxwell,Australia,Baker's Choco Chips,16/8/2021,$777 ,52
Husein Augar,   India,Almond Choco,16/8/2021,"$1,281 ",81
Beverie Moffet,  India,Mint Chip Choco,16/8/2021,"$15,043 ",836
Ches Bonnell,   Canada,Milk Bars,16/8/2021,"$7,959 ",319
Oby Sorrel,  USA,Eclairs,16/8/2021,$651 ,31
Ches Bonnell,  USA,Baker's Choco Chips,16/8/2021,"$14,280 ",1190
Ches Bonnell,Australia,Smooth Sliky Salty,16/8/2021,$672 ,42
Dennison Crosswaite,India,Caramel Stuffed Bars,16/8/2021,$420 ,15
Jehu Rudeforth, India,99% Dark & Pure,16/8/2021,"$9,527 ",397
Husein Augar,USA,Choco Coated Almonds,16/8/2021,"$3,262 ",164
Kaine Padly, Australia,Orange Choco,16/8/2021,"$5,201 ",401
Andria Kimpton,   UK,Manuka Honey Choco,16/8/2021,"$9,905 ",331
Jehu Rudeforth,  Australia,Choco Coated Almonds,16/8/2021,"$2,457 ",176
Ches Bonnell, New Zealand,Eclairs,16/8/2021,"$8,890 ",494
Kelci Walkden,  USA,Eclairs,17/8/2021,"$1,960 ",109
Rafaelita Blaksland,  India,Choco Coated Almonds,17/8/2021,"$4,487 ",214
Karlen McCaffrey,  Australia,Baker's Choco Chips,17/8/2021,"$2,240 ",249
Mallorie Waber, USA,Drinking Coco,17/8/2021,$308 ,14
Wilone O'Kielt,Australia,Milk Bars,17/8/2021,"$1,568 ",61
Dotty Strutley,   India,Orange Choco,18/8/2021,"$6,510 ",465
Beverie Moffet,UK,Organic Choco Syrup,18/8/2021,"$5,992 ",207
Karlen McCaffrey, Canada,Drinking Coco,18/8/2021,$609 ,24
Madelene Upcott,   UK,99% Dark & Pure,18/8/2021,"$8,141 ",340
Dennison Crosswaite,Australia,White Choc,18/8/2021,"$12,908 ",1174
Dotty Strutley,  New Zealand,85% Dark Bars,18/8/2021,$266 ,15
Dotty Strutley, Australia,Choco Coated Almonds,18/8/2021,"$14,672 ",816
Andria Kimpton,New Zealand,Manuka Honey Choco,18/8/2021,"$8,540 ",285
Jehu Rudeforth,Canada,Raspberry Choco,18/8/2021,$546 ,26
Roddy Speechley,  Australia,Peanut Butter Cubes,18/8/2021,"$1,631 ",86
Andria Kimpton,India,Fruit & Nut Bars,18/8/2021,$203 ,21
Camilla Castle,  Australia,85% Dark Bars,18/8/2021,"$3,451 ",165
Marney O'Breen, New Zealand,Manuka Honey Choco,18/8/2021,"$9,303 ",282
Dotty Strutley,   USA,Choco Coated Almonds,18/8/2021,"$5,565 ",293
Madelene Upcott, Canada,Baker's Choco Chips,18/8/2021,"$6,083 ",676
Andria Kimpton, USA,Eclairs,18/8/2021,"$3,808 ",293
Camilla Castle,   Australia,Drinking Coco,18/8/2021,"$4,634 ",172
Gigi Bohling,   UK,50% Dark Bites,18/8/2021,"$1,085 ",68
Madelene Upcott,   Canada,Spicy Special Slims,19/8/2021,"$9,506 ",476
Ches Bonnell,  Canada,99% Dark & Pure,19/8/2021,"$6,468 ",270
Ches Bonnell,  USA,Peanut Butter Cubes,19/8/2021,"$10,766 ",490
Husein Augar,   India,After Nines,19/8/2021,"$2,359 ",91
Van Tuxwell,   New Zealand,Smooth Sliky Salty,19/8/2021,$273 ,21
Camilla Castle,Australia,50% Dark Bites,19/8/2021,"$7,217 ",602
Kaine Padly,   Australia,Baker's Choco Chips,19/8/2021,"$8,386 ",560
Barr Faughny,   New Zealand,99% Dark & Pure,19/8/2021,"$13,111 ",625
Andria Kimpton,  USA,Peanut Butter Cubes,19/8/2021,$287 ,16
Madelene Upcott,   Australia,Spicy Special Slims,19/8/2021,"$11,795 ",492
Wilone O'Kielt,Canada,Fruit & Nut Bars,19/8/2021,"$7,721 ",483
Camilla Castle,  New Zealand,Baker's Choco Chips,19/8/2021,$147 ,11
Camilla Castle, Australia,70% Dark Bites,19/8/2021,"$2,891 ",207
Curtice Advani, India,Fruit & Nut Bars,19/8/2021,$875 ,49
Barr Faughny,  UK,50% Dark Bites,19/8/2021,$910 ,102
Andria Kimpton,   USA,Baker's Choco Chips,20/8/2021,"$1,498 ",100
Van Tuxwell,   Canada,Mint Chip Choco,20/8/2021,"$1,099 ",74
Andria Kimpton, Canada,After Nines,20/8/2021,$805 ,26
Jehu Rudeforth,USA,Almond Choco,20/8/2021,"$2,268 ",152
Dennison Crosswaite,  USA,Milk Bars,20/8/2021,"$1,568 ",69
Roddy Speechley,  UK,White Choc,20/8/2021,$49 ,4
Ches Bonnell,  Canada,Drinking Coco,20/8/2021,"$12,558 ",503
Camilla Castle,Australia,Eclairs,20/8/2021,"$2,856 ",179
Kelci Walkden,   New Zealand,Milk Bars,20/8/2021,$896 ,32
Karlen McCaffrey, New Zealand,Almond Choco,20/8/2021,"$2,709 ",118
Barr Faughny, Australia,Baker's Choco Chips,20/8/2021,"$1,729 ",217
Roddy Speechley,  New Zealand,Almond Choco,20/8/2021,"$5,215 ",326
Marney O'Breen,   UK,Smooth Sliky Salty,20/8/2021,"$1,008 ",56
Andria Kimpton,USA,Manuka Honey Choco,20/8/2021,"$10,661 ",356
Dotty Strutley,   India,Fruit & Nut Bars,20/8/2021,"$6,713 ",560
Ches Bonnell, Canada,After Nines,20/8/2021,"$5,320 ",190
Beverie Moffet,USA,Raspberry Choco,20/8/2021,"$3,850 ",193
Van Tuxwell,   Australia,Peanut Butter Cubes,20/8/2021,$616 ,27
Rafaelita Blaksland,   USA,Fruit & Nut Bars,20/8/2021,"$3,318 ",237
Ches Bonnell,India,Fruit & Nut Bars,20/8/2021,"$1,876 ",134
Camilla Castle, New Zealand,Spicy Special Slims,20/8/2021,"$10,724 ",511
Oby Sorrel,   India,Drinking Coco,20/8/2021,"$1,757 ",61
Kaine Padly,  Australia,Raspberry Choco,20/8/2021,"$11,060 ",692
Beverie Moffet,   India,After Nines,20/8/2021,"$1,645 ",64
Jehu Rudeforth,UK,Drinking Coco,23/8/2021,$952 ,34
Mallorie Waber,  India,Peanut Butter Cubes,23/8/2021,"$2,786 ",155
Dotty Strutley, UK,Raspberry Choco,23/8/2021,"$8,659 ",394
Mallorie Waber, UK,Orange Choco,23/8/2021,"$9,765 ",698
Camilla Castle,   Australia,White Choc,23/8/2021,"$6,314 ",451
Roddy Speechley,  New Zealand,Baker's Choco Chips,23/8/2021,"$4,431 ",296
Camilla Castle,  Australia,Mint Chip Choco,23/8/2021,"$1,918 ",113
Gigi Bohling, UK,Choco Coated Almonds,23/8/2021,"$6,111 ",322
Madelene Upcott,  UK,Drinking Coco,23/8/2021,$329 ,13
Andria Kimpton,  USA,Mint Chip Choco,23/8/2021,"$6,146 ",473
Camilla Castle, New Zealand,Smooth Sliky Salty,23/8/2021,"$4,529 ",324
Mallorie Waber, India,Choco Coated Almonds,23/8/2021,"$3,241 ",232
Jan Morforth,Australia,Raspberry Choco,24/8/2021,"$1,120 ",63
Gunar Cockshoot, Australia,Mint Chip Choco,24/8/2021,$770 ,52
Dennison Crosswaite,  New Zealand,After Nines,24/8/2021,"$8,064 ",279
Jan Morforth,   India,Spicy Special Slims,24/8/2021,"$3,780 ",172
